基金代码,基金简称,风格属性
570005.OF,诺德成长优势,平衡
000308.OF,建信创新中国,平衡
050010.OF,博时特许价值A,成长
320011.OF,诺安中小盘精选,平衡
519035.OF,富国天博创新主题,成长
481017.OF,工银瑞信量化策略,平衡
000251.OF,工银瑞信金融地产A,价值
240011.OF,华宝大盘精选,成长
050026.OF,博时医疗保健行业A,成长
000020.OF,景顺长城品质投资,成长
000127.OF,农银汇理行业领先,成长
519991.OF,长信双利优选A,
660003.OF,农银汇理平衡双利,成长
481015.OF,工银瑞信主题策略,平衡
420003.OF,天弘永定成长,平衡
270021.OF,广发聚瑞A,成长
163409.OF,兴全绿色投资,成长
161609.OF,融通动力先锋,成长
519002.OF,华安安信消费服务,平衡
050007.OF,博时平衡配置,平衡
163503.OF,天治核心成长,平衡
290002.OF,泰信先行策略,平衡
373010.OF,上投摩根双息平衡A,价值
100039.OF,富国通胀通缩主题,成长
519181.OF,万家和谐增长,成长
310388.OF,申万菱信消费增长,平衡
519702.OF,交银趋势优先,平衡
310368.OF,申万菱信竞争优势,成长
166001.OF,中欧新趋势A,成长
320012.OF,诺安主题精选,成长
121003.OF,国投瑞银核心企业,平衡
370027.OF,上投摩根智选30,成长
229002.OF,泰达宏利逆向策略,平衡
378010.OF,上投摩根成长先锋,平衡
377150.OF,上投摩根健康品质生活,成长
257070.OF,国联安优选行业,成长
379010.OF,上投摩根中小盘,成长
000532.OF,景顺长城优势企业,成长
001410.OF,信达澳银新能源产业,成长
000418.OF,景顺长城成长之星,成长
000589.OF,光大银发商机主题,平衡
690005.OF,民生加银内需增长,成长
000409.OF,鹏华环保产业,价值
000612.OF,华宝生态中国,平衡
000124.OF,华宝服务优选,成长
001938.OF,中欧时代先锋A,成长
550009.OF,信诚中小盘,成长
470006.OF,汇添富医药保健A,成长
000339.OF,长城医疗保健,成长
519664.OF,银河美丽优萃A,成长
070019.OF,嘉实价值优势,平衡
070011.OF,嘉实策略增长,成长
080005.OF,长盛量化红利策略,价值
200015.OF,长城优化升级,平衡
163110.OF,申万菱信量化小盘,平衡
161616.OF,融通医疗保健行业A,成长
519093.OF,新华钻石品质企业,平衡
481013.OF,工银瑞信消费服务,平衡
240017.OF,华宝新兴产业,成长
166005.OF,中欧价值发现A,平衡
110023.OF,易方达医疗保健,成长
160610.OF,鹏华动力增长,平衡
213002.OF,宝盈泛沿海增长,平衡
000524.OF,上投摩根民生需求,平衡
450004.OF,国富深化价值,平衡
001714.OF,工银瑞信文体产业A,平衡
530011.OF,建信内生动力,平衡
001717.OF,工银瑞信前沿医疗A,成长
000172.OF,华泰柏瑞量化增强A,价值
519727.OF,交银成长30,成长
001645.OF,国泰大健康,成长
320005.OF,诺安价值增长,平衡
210004.OF,金鹰稳健成长,平衡
310358.OF,申万菱信新经济,平衡
000117.OF,广发轮动配置,成长
000309.OF,大摩品质生活精选,平衡
160512.OF,博时卓越品牌,成长
540010.OF,汇丰晋信科技先锋,成长
070027.OF,嘉实周期优选,价值
050014.OF,博时创业成长A,平衡
003095.OF,中欧医疗健康A,成长
213008.OF,宝盈资源优选,平衡
162006.OF,长城久富,平衡
000778.OF,鹏华先进制造,成长
400015.OF,东方新能源汽车主题,平衡
519673.OF,银河康乐,成长
590005.OF,中邮核心主题,成长
000031.OF,华夏复兴,成长
580008.OF,东吴新产业精选,平衡
233006.OF,大摩领先优势,平衡
202005.OF,南方成份精选A,平衡
690004.OF,民生加银稳健成长,成长
217013.OF,招商中小盘精选,成长
530005.OF,建信优化配置,成长
630010.OF,华商价值精选,成长
002168.OF,嘉实智能汽车,平衡
160311.OF,华夏蓝筹核心,平衡
519056.OF,海富通内需热点,成长
004075.OF,交银医药创新,成长
460007.OF,华泰柏瑞行业领先,成长
161810.OF,银华内需精选,平衡
420005.OF,天弘周期策略,平衡
002340.OF,富国价值优势,平衡
000549.OF,华安大国新经济,平衡
519698.OF,交银先锋,成长
000628.OF,大成高新技术产业,平衡
630011.OF,华商主题精选,成长
001542.OF,国泰互联网+,成长
070021.OF,嘉实主题新动力,成长
200012.OF,长城中小盘成长,成长
000991.OF,工银瑞信战略转型主题,平衡
166006.OF,中欧行业成长A,成长
580002.OF,东吴价值成长,成长
003853.OF,金鹰信息产业A,成长
519033.OF,海富通国策导向,成长
001985.OF,富国低碳新经济,成长
000039.OF,农银汇理低估值高增长,成长
530019.OF,建信社会责任,平衡
000831.OF,工银瑞信医疗保健行业,成长
519983.OF,长信量化先锋A,价值
000551.OF,信诚幸福消费,平衡
610006.OF,信达澳银产业升级,平衡
376510.OF,上投摩根大盘蓝筹,平衡
000550.OF,广发新动力,价值
000960.OF,招商医药健康产业,成长
519678.OF,银河消费驱动,平衡
000803.OF,工银瑞信研究精选,平衡
260112.OF,景顺长城能源基建,价值
233009.OF,大摩多因子策略,价值
001736.OF,圆信永丰优加生活,成长
000471.OF,富国城镇发展,成长
540008.OF,汇丰晋信低碳先锋,成长
519714.OF,交银消费新驱动,平衡
260110.OF,景顺长城精选蓝筹,成长
002621.OF,中欧消费主题A,平衡
050201.OF,博时价值增长2号,平衡
710001.OF,富安达优势成长,成长
000711.OF,嘉实医疗保健,成长
210003.OF,金鹰行业优势,价值
210008.OF,金鹰策略配置,平衡
000594.OF,大摩进取优选,平衡
006265.OF,红土创新新科技,成长
006002.OF,工银瑞信医药健康A,
005888.OF,华夏新兴消费A,
519115.OF,浦银安盛红利精选,成长
260115.OF,景顺长城中小盘,成长
519185.OF,万家精选,价值
483003.OF,工银瑞信精选平衡,平衡
001718.OF,工银瑞信物流产业,平衡
233015.OF,大摩华鑫量化配置A,价值
700001.OF,平安行业先锋,平衡
257050.OF,国联安主题驱动,成长
290008.OF,泰信发展主题,平衡
100056.OF,富国低碳环保,价值
519013.OF,海富通风格优势,平衡
001703.OF,银华沪港深增长,
213003.OF,宝盈策略增长,成长
166011.OF,中欧盛世成长A,平衡
005962.OF,宝盈人工智能A,
320007.OF,诺安成长,平衡
006136.OF,广发估值优势,
000884.OF,民生加银优选,成长
610001.OF,信达澳银领先增长,平衡
160314.OF,华夏行业精选,平衡
000522.OF,华润元大信息传媒科技,成长
519025.OF,海富通领先成长,平衡
519987.OF,长信恒利优势,成长
398041.OF,中海量化策略,成长
519099.OF,新华灵活主题,平衡
001705.OF,泓德战略转型,成长
040008.OF,华安策略优选,平衡
004424.OF,汇添富文体娱乐主题,
519915.OF,富国消费主题,平衡
002229.OF,华夏经济转型,成长
004997.OF,广发高端制造A,成长
005825.OF,申万菱信智能驱动,成长
005760.OF,富国周期优势,
450007.OF,国富成长动力,平衡
005805.OF,华泰柏瑞医疗健康,
163818.OF,中银中小盘成长,成长
519193.OF,万家消费成长,平衡
006154.OF,华安制造先锋,
200008.OF,长城品牌优选,平衡
003230.OF,创金合信医疗保健行业A,成长
240022.OF,华宝资源优选,价值
020018.OF,国泰金鹿,价值
202009.OF,南方盛元红利,成长
257040.OF,国联安红利,价值
163411.OF,兴全精选,成长
006615.OF,工银战略新兴产业A,
000780.OF,鹏华医疗保健,成长
006736.OF,国投瑞银先进制造,
360010.OF,光大精选,成长
070017.OF,嘉实量化阿尔法,平衡
160805.OF,长盛同智,平衡
006751.OF,富国互联科技,
161610.OF,融通领先成长A,成长
165508.OF,信诚深度价值,平衡
000209.OF,信诚新兴产业,成长
006642.OF,华泰保兴吉年利,平衡
540009.OF,汇丰晋信消费红利,平衡
570006.OF,诺德中小盘,平衡
090011.OF,大成核心双动力,价值
001104.OF,华安新丝路主题,成长
005939.OF,工银瑞信新能源汽车A,成长
002562.OF,泓德泓益,成长
001054.OF,工银瑞信新金融,平衡
000120.OF,中银美丽中国,平衡
000945.OF,华夏医疗健康A,成长
005968.OF,创金合信工业周期精选A,成长
630001.OF,华商领先企业,成长
006366.OF,兴业安保优选,成长
007340.OF,南方科技创新A,
006132.OF,万家智造优势A,平衡
003190.OF,创金合信消费主题A,平衡
006058.OF,民生加银新兴成长,
004505.OF,博时新兴消费主题,平衡
121008.OF,国投瑞银成长优选,平衡
410003.OF,华富成长趋势,成长
001382.OF,易方达国企改革,成长
001513.OF,易方达信息产业,成长
001605.OF,国富沪港深成长精选,
001766.OF,上投摩根医疗健康,成长
270007.OF,广发大盘成长,成长
000828.OF,泰达宏利转型机遇,成长
003745.OF,广发多元新兴,成长
005235.OF,银华食品饮料A,平衡
001576.OF,国泰智能装备,成长
090019.OF,大成景恒A,平衡
000729.OF,建信中小盘,平衡
001178.OF,前海开源再融资主题精选,价值
006977.OF,农银汇理海棠三年定开,成长
004183.OF,富国产业升级,成长
110029.OF,易方达科讯,成长
006223.OF,交银创新成长,
002980.OF,华夏创新前沿,成长
260117.OF,景顺长城支柱产业,价值
006408.OF,汇添富消费升级,
730001.OF,方正富邦创新动力A,平衡
004076.OF,国联安锐意成长,平衡
005680.OF,财通资管价值成长,成长
004812.OF,中欧先进制造A,
006348.OF,银华盛利,
470028.OF,汇添富社会责任,成长
005630.OF,华安研究精选,平衡
688888.OF,浙商聚潮产业成长,价值
200010.OF,长城双动力,成长
002300.OF,长盛医疗行业,成长
001725.OF,汇添富中国高端制造,平衡
519110.OF,浦银安盛价值成长A,成长
001878.OF,嘉实沪港深精选,
006314.OF,中融策略优选A,
000066.OF,诺安鸿鑫,
007082.OF,平安高端制造A,
006250.OF,上投摩根动力精选,成长
000327.OF,南方潜力新蓝筹,平衡
005106.OF,银华农业产业,平衡
000432.OF,中银优秀企业,平衡
005241.OF,中欧时代智慧A,
001974.OF,景顺长城量化新动力,价值
007346.OF,易方达科技创新,
004450.OF,嘉实前沿科技,
007343.OF,嘉实科技创新,
001186.OF,富国文体健康,平衡
164205.OF,天弘文化新兴产业,成长
007490.OF,南方信息创新A,
007349.OF,华夏科技创新A,
320016.OF,诺安多策略,平衡
161611.OF,融通内需驱动,成长
003834.OF,华夏能源革新,平衡
002595.OF,博时工业4.0,平衡
004616.OF,中欧电子信息产业A,
006796.OF,富国消费升级,
005029.OF,中银产业精选,
000411.OF,景顺长城优质成长,价值
006692.OF,金信消费升级A,成长
740001.OF,长安宏观策略,价值
160919.OF,大成产业升级,平衡
540007.OF,汇丰晋信中小盘,平衡
090016.OF,大成消费主题,平衡
150968.OF,银河研究精选,成长
003634.OF,嘉实农业产业,平衡
005268.OF,鹏华优势企业,成长
006072.OF,民生加银创新成长,
168501.OF,北信瑞丰产业升级,平衡
005264.OF,国都多策略,成长
460002.OF,华泰柏瑞积极成长A,平衡
001256.OF,泓德优选成长,成长
400011.OF,东方核心动力,价值
006266.OF,永赢智能领先A,平衡
001672.OF,国寿安保智慧生活,平衡
007063.OF,长盛研发回报,
006904.OF,泰康产业升级A,
005777.OF,广发科技动力,
004477.OF,嘉实沪港深回报,
006218.OF,富国生物医药科技,
005708.OF,国联安远见成长,
000866.OF,华宝高端制造,平衡
001482.OF,上投摩根新兴服务,平衡
560002.OF,益民红利成长,成长
006240.OF,中融医疗健康精选A,
003822.OF,中信建投行业轮换A,平衡
005848.OF,银华裕利,
006604.OF,嘉实消费精选A,
006281.OF,万家人工智能,平衡
610005.OF,信达澳银红利回报,平衡
005660.OF,嘉实资源精选A,
000696.OF,汇添富环保行业,平衡
006424.OF,嘉合锦程价值精选A,平衡
006879.OF,华安智能生活,
007353.OF,工银科技创新3年,
006111.OF,泰康弘实3个月定开,
570007.OF,诺德优选30,平衡
000916.OF,前海开源股息率100强,价值
006346.OF,安信量化优选A,平衡
004784.OF,招商稳健优选,成长
007689.OF,国投瑞银新能源A,
001047.OF,光大国企改革主题,平衡
005498.OF,银华积极成长,成长
000006.OF,西部利得量化成长,平衡
006644.OF,弘毅远方消费升级,
005533.OF,银华国企改革,价值
006720.OF,平安核心优势A,
001749.OF,招商中国机遇,成长
007119.OF,睿远成长价值A,
004995.OF,广发品牌消费A,成长
001915.OF,宝盈医疗健康沪港深,
000688.OF,景顺长城研究精选,价值
006511.OF,博道卓远A,平衡
003567.OF,华夏行业景气,平衡
004292.OF,鹏华沪深港互联网,
003956.OF,南方现代教育,成长
006533.OF,易方达科融,
202213.OF,南方核心竞争,价值
005847.OF,富国沪港深业绩驱动,
001490.OF,汇添富国企创新增长,成长
006648.OF,汇安多因子A,成长
005826.OF,华夏潜龙精选,
005409.OF,华泰柏瑞战略新兴产业A,
001583.OF,安信新常态沪港深精选,
006502.OF,财通集成电路产业A,
001825.OF,建信中国制造2025,平衡
050008.OF,博时第三产业成长,成长
000761.OF,国富健康优质生活,
001236.OF,博时丝路主题A,平衡
005075.OF,富国研究量化精选,平衡
519019.OF,大成景阳领先,平衡
006230.OF,鹏华研究驱动,
006049.OF,恒越研究精选A,
004683.OF,建信高端医疗,成长
007146.OF,鹏华研究智选,
005164.OF,富荣福锦A,成长
001558.OF,天弘医疗健康A,成长
006981.OF,中金新医药A,
673090.OF,西部利得个股精选,成长
004350.OF,汇丰晋信价值先锋,平衡
290006.OF,泰信蓝筹精选,平衡
007012.OF,湘财长顺A,平衡
006299.OF,恒越核心精选A,
167702.OF,德邦量化优选A,价值
006167.OF,德邦乐享生活A,平衡
005402.OF,广发资源优选A,平衡
006969.OF,圆信永丰高端制造,平衡
005352.OF,鹏扬景泰成长A,平衡
006202.OF,交银核心资产,
005090.OF,嘉合睿金A,平衡
007084.OF,天治转型升级,
005970.OF,国泰消费优选,成长
008227.OF,宝盈研究精选A,
006921.OF,南方智诚,
005335.OF,浙商全景消费,
004359.OF,创金合信量化核心A,价值
007261.OF,融通消费升级,
005495.OF,创金合信科技成长A,成长
002332.OF,汇丰晋信沪港深A,
004640.OF,华夏节能环保,平衡
006227.OF,华宝科技先锋A,
006243.OF,中银双息回报,
000199.OF,国泰量化策略收益,
519039.OF,长盛同德,平衡
007493.OF,朱雀产业臻选A,
005927.OF,创金合信新能源汽车A,平衡
671030.OF,西部利得事件驱动,价值
050018.OF,博时行业轮动,平衡
001719.OF,工银瑞信国家战略主题,平衡
007439.OF,东海科技动力A,
519026.OF,海富通中小盘,成长
006568.OF,国联安行业领先,
160910.OF,大成创新成长,平衡
006430.OF,凯石澜龙头经济定开,平衡
202019.OF,南方策略优化,平衡
005612.OF,嘉实核心优势,
007254.OF,广发均衡价值,
007139.OF,富国民裕沪港深精选,
202212.OF,南方平衡配置,成长
166025.OF,中欧远见两年定开A,
005967.OF,鹏华创新驱动,
005237.OF,银华医疗健康A,成长
005351.OF,汇添富行业整合主题,
006813.OF,博时汇悦回报,
001521.OF,国寿安保成长优选,平衡
001048.OF,富国新兴产业,价值
008009.OF,华商高端装备制造,
005774.OF,华夏产业升级,
005894.OF,华夏优势精选,
050009.OF,博时新兴成长,成长
004434.OF,博时逆向投资A,平衡
519935.OF,长信创新驱动,平衡
006538.OF,东海核心价值,平衡
580006.OF,东吴新经济,成长
001884.OF,中欧互通精选E,
001764.OF,广发沪港深新机遇,
007718.OF,中银创新医疗A,
007305.OF,国联安新科技,
006160.OF,博道启航A,平衡
006251.OF,银华兴盛,
005638.OF,农银汇理量化智慧动力,平衡
005041.OF,人保研究精选A,成长
007308.OF,华宝消费升级,
001039.OF,嘉实先进制造,成长
007523.OF,汇添富内需增长A,
006259.OF,汇添富红利增长A,
005310.OF,广发电子信息传媒产业精选A,成长
006551.OF,中庚价值领航,价值
501051.OF,圆信永丰汇利,平衡
001162.OF,前海开源优势蓝筹A,价值
006022.OF,富国大盘价值,价值
007854.OF,光大保德信景气先锋,
005505.OF,前海开源中药研究精选A,
001917.OF,招商量化精选A,价值
001726.OF,汇添富新兴消费,成长
001678.OF,英大国企改革主题,平衡
004716.OF,信诚量化阿尔法,价值
161837.OF,银华大盘精选两年定开,
006157.OF,财通量化核心优选,价值
001050.OF,汇添富成长多因子量化策略,平衡
001849.OF,前海开源强势共识100强,平衡
006564.OF,圆信永丰精选回报,
007163.OF,浦银安盛环保新能源A,
001036.OF,嘉实企业变革,成长
501093.OF,华夏翔阳两年定开,
005043.OF,国寿安保健康科学A,成长
620006.OF,金元顺安消费主题,成长
006882.OF,华泰保兴健康消费A,
006274.OF,圆信永丰医药健康,成长
240010.OF,华宝行业精选,平衡
007685.OF,华商电子行业量化,
008985.OF,东方红启东三年持有,
006890.OF,上投摩根领先优选,
004250.OF,银河量化优选,价值
005189.OF,海富通量化前锋A,平衡
007733.OF,南方智锐A,
005250.OF,银华估值优势,
168102.OF,九泰锐富事件驱动,平衡
002210.OF,创金合信量化多因子A,价值
007177.OF,浙商智能行业优选A,
006718.OF,国融融盛龙头严选A,
006025.OF,诺安优化配置,平衡
005706.OF,兴业龙腾双益平衡,成长
002861.OF,工银瑞信智能制造,平衡
003751.OF,万家瑞隆,价值
003053.OF,嘉实文体娱乐A,成长
501062.OF,南方瑞合三年,
004769.OF,申万菱信价值优先,价值
007113.OF,永赢高端制造A,
660006.OF,农银汇理大盘蓝筹,平衡
090020.OF,大成健康产业,成长
000925.OF,汇添富外延增长主题,平衡
008264.OF,南方ESG主题A,
007895.OF,嘉实价值成长,
008208.OF,博道嘉泰回报,
008978.OF,银华长丰,
006620.OF,华夏养老2045三年A,
006205.OF,汇添富沪港深优势精选,
004332.OF,恒生前海沪港深新兴,
006992.OF,嘉合锦创优势精选,成长
006198.OF,长盛龙头双核驱动,
009057.OF,博时科技创新A,
168601.OF,汇安裕阳三年定期开放,价值
006942.OF,华泰柏瑞量化明选A,价值
007880.OF,朱雀产业智选A,
008545.OF,泓德丰润三年持有,
008901.OF,富国内需增长,
007968.OF,华泰柏瑞研究精选A,
008276.OF,财通资管价值发现,
001900.OF,诺安精选价值,
008132.OF,鹏华价值驱动,
007518.OF,东方阿尔法优选A,
004871.OF,中银金融地产A,价值
007281.OF,嘉合消费升级,
160322.OF,华夏港股通精选,
007188.OF,嘉实养老2050五年,
001637.OF,嘉实腾讯自选股大数据,平衡
001245.OF,工银瑞信生态环境,平衡
910007.OF,东方红启元三年持有A,
481006.OF,工银瑞信红利,平衡
005220.OF,海富通聚优精选,
008234.OF,光大保德信消费主题,
000646.OF,华润元大量化优选A,
000971.OF,诺安新经济,平衡
007059.OF,汇添富养老2040五年,
006321.OF,中欧预见养老2035三年A,
006580.OF,兴全安泰平衡养老(FOF),价值
006801.OF,前海联合科技先锋A,
008186.OF,淳厚信睿核心精选A,
001707.OF,诺安高端制造,平衡
006290.OF,南方养老2035三年A,
007802.OF,兴全合泰A,
008969.OF,睿远均衡价值三年A,
001403.OF,招商国企改革,成长
501002.OF,长信价值优选,
008166.OF,工银瑞信消费行业A,
006652.OF,富国金融地产行业,
006886.OF,工银养老2050五年,
002612.OF,融通通慧A,
007151.OF,前海开源沪港深聚瑞,
006419.OF,人保优势产业A,平衡
006193.OF,鑫元核心资产A,
006891.OF,华夏养老2050五年,
007898.OF,富国智诚精选3个月,
008251.OF,汇安宜创量化精选A,
005009.OF,申万菱信行业轮动,平衡
008297.OF,广发价值优势,
008891.OF,安信价值成长A,
004606.OF,上投摩根优选多因子,平衡
004403.OF,平安股息精选A,
006911.OF,长江量化匠心甄选A,平衡
005000.OF,泰康泉林量化价值精选A,平衡
008980.OF,中邮科技创新精选A,
005449.OF,华夏行业龙头,平衡
008244.OF,上银鑫卓,
008128.OF,湘财长源A,
006225.OF,人保量化基本面A,平衡
002334.OF,汇丰晋信大盘波动精选A,价值
162209.OF,泰达宏利市值优选,平衡
001193.OF,中金消费升级,成长
009049.OF,易方达高端制造,
006123.OF,中融高股息精选A,
006557.OF,海富通研究精选A,
004730.OF,建信量化事件驱动,平衡
007066.OF,浦银安盛先进制造A,
008404.OF,华泰紫金泰盈A,
005296.OF,南华丰淳A,成长
008381.OF,前海开源新兴产业,
009147.OF,建信新能源,
006295.OF,工银养老2035三年,
160415.OF,华安量化多因子,价值
002387.OF,工银瑞信沪港深A,
007533.OF,格林创新成长A,
006305.OF,银华养老2035三年,
001685.OF,汇添富沪港深新价值,
001476.OF,中银智能制造,成长
001421.OF,南方量化成长,平衡
007133.OF,嘉实长青竞争优势A,
008480.OF,永赢股息优选A,
001496.OF,工银瑞信聚焦30,价值
080007.OF,长盛同鑫行业配置A,平衡
006877.OF,天治量化核心精选A,
007137.OF,鹏扬元合量化大盘优选A,
004881.OF,中银量化价值A,价值
005635.OF,博时量化多策略A,
007613.OF,嘉合医疗健康,
006128.OF,银河和美生活,平衡
006923.OF,前海开源沪港深非周期A,
005405.OF,中金金序量化蓝筹A,价值
008461.OF,平安盈丰积极配置三个月持有A(FOF),
004212.OF,中融量化智选A,价值
210009.OF,金鹰核心资源,平衡
004926.OF,中航军民融合精选A,平衡
005005.OF,中金金泽A,价值
009140.OF,永赢竞争力精选,
009008.OF,平安科技创新A,
004352.OF,北信瑞丰研究精选,平衡
